value	rep	A	B
0.6889489954	1	2	0
0.4041731066	1	0.67	0
0.1901081917	1	0.22	0
0.0390262751	1	0.074	0
0.0521638331	1	0.025	0
0	1	0	0
0.7432195976	2	2	0
0.447944007	2	0.67	0
0.2125984252	2	0.22	0
0.0546806649	2	0.074	0
0.0621172353	2	0.025	0
0	2	0	0
0.6611740474	3	2	0
0.5056642636	3	0.67	0
0.0998970134	3	0.22	0
0.1271884655	3	0.074	0
0.0823892894	3	0.025	0
0	3	0	0
0.7179289026	1	2	0.025
0.5842349304	1	0.67	0.025
0.2577279753	1	0.22	0.025
0.0768933539	1	0.074	0.025
0.0471406491	1	0.025	0.025
0.0409582689	1	0	0.025
0.7510936133	2	2	0.025
0.6006124234	2	0.67	0.025
0.2690288714	2	0.22	0.025
0.1959755031	2	0.074	0.025
0.0293088364	2	0.025	0.025
0.0231846019	2	0	0.025
0.710607621	3	2	0.025
0.4984552008	3	0.67	0.025
0.236869207	3	0.22	0.025
0.1395468589	3	0.074	0.025
0.0252317199	3	0.025	0.025
0.1616889804	3	0	0.025
0.7921174652	1	2	0.074
0.5853941267	1	0.67	0.074
0.2592735703	1	0.22	0.074
0.214064915	1	0.074	0.074
0.0730293663	1	0.025	0.074
0.0946676971	1	0	0.074
0.8040244969	2	2	0.074
0.6202974628	2	0.67	0.074
0.4553805774	2	0.22	0.074
0.2707786527	2	0.074	0.074
0.1762904637	2	0.025	0.074
0.1881014873	2	0	0.074
0.745623069	3	2	0.074
0.5659114315	3	0.67	0.074
0.3872296601	3	0.22	0.074
0.2713697219	3	0.074	0.074
0.2888774459	3	0.025	0.074
0.3171987642	3	0	0.074
0.8458268934	1	2	0.22
0.7476816074	1	0.67	0.22
0.5722565688	1	0.22	0.22
0.5274343122	1	0.074	0.22
0.5015455951	1	0.025	0.22
0.5301391036	1	0	0.22
0.8722659668	2	2	0.22
0.749343832	2	0.67	0.22
0.6325459318	2	0.22	0.22
0.5437445319	2	0.074	0.22
0.5376202975	2	0.025	0.22
0.5196850394	2	0	0.22
0.824407827	3	2	0.22
0.7518022657	3	0.67	0.22
0.6029866117	3	0.22	0.22
0.5674562307	3	0.074	0.22
0.5556127703	3	0.025	0.22
0.5926879506	3	0	0.22
0.9076506955	1	2	0.67
0.8875579598	1	0.67	0.67
0.8392581144	1	0.22	0.67
0.7909582689	1	0.074	0.67
0.7650695518	1	0.025	0.67
0.772797527	1	0	0.67
0.894575678	2	2	0.67
0.8718285214	2	0.67	0.67
0.8403324584	2	0.22	0.67
0.8193350831	2	0.074	0.67
0.782152231	2	0.025	0.67
0.7449693788	2	0	0.67
0.9227600412	3	2	0.67
0.8980432544	3	0.67	0.67
0.859423275	3	0.22	0.67
0.8120494336	3	0.074	0.67
0.8228630278	3	0.025	0.67
0.7847579815	3	0	0.67
0.9231066461	1	2	2
0.9026275116	1	0.67	2
0.8705564142	1	0.22	2
0.864374034	1	0.074	2
0.8608964451	1	0.025	2
0.8697836167	1	0	2
0.9138232721	2	2	2
0.8805774278	2	0.67	2
0.8779527559	2	0.22	2
0.8727034121	2	0.074	2
0.8377077865	2	0.025	2
0.823272091	2	0	2
0.9325437693	3	2	2
0.8985581874	3	0.67	2
0.8676622039	3	0.22	2
0.8558187436	3	0.074	2
0.842430484	3	0.025	2
0.8414006179	3	0	2
